signal_id,material_code,plant_code,period_date,period_type,demand_type,volume_rc,week_label
1,32000001,7101,2025-12-29,WEEK,IBP,9959.0,w01
2,32000001,7101,2026-01-05,WEEK,IBP,10312.0,w02
3,32000001,7101,2026-01-12,WEEK,IBP,10271.0,w03
4,32000001,7101,2026-01-19,WEEK,IBP,10423.0,w04
5,32000001,7101,2026-01-26,WEEK,IBP,11369.0,w05
6,32000001,7101,2026-02-02,WEEK,IBP,11415.0,w06
7,32000001,7101,2026-02-09,WEEK,IBP,11065.0,w07
8,32000001,7101,2026-02-16,WEEK,IBP,10994.0,w08
9,32000001,7101,2026-02-23,WEEK,IBP,12932.0,w09
10,32000001,7101,2026-03-02,WEEK,IBP,13494.0,w10
11,32000001,7101,2026-03-09,WEEK,IBP,13640.0,w11
12,32000001,7101,2026-03-16,WEEK,IBP,13687.0,w12
13,32000001,7101,2026-03-23,WEEK,IBP,13654.0,w13
14,32000001,7101,2026-03-30,WEEK,IBP,13469.0,w14
15,32000001,7101,2026-04-06,WEEK,IBP,13123.0,w15
16,32000001,7101,2026-04-13,WEEK,IBP,13069.0,w16
17,32000001,7101,2026-04-20,WEEK,IBP,12493.0,w17
18,32000001,7101,2026-04-27,WEEK,IBP,12178.0,w18
19,32000001,7101,2026-05-04,WEEK,IBP,11897.0,w19
20,32000001,7101,2026-05-11,WEEK,IBP,11382.0,w20
21,32000001,7101,2026-05-18,WEEK,IBP,10447.0,w21
22,32000001,7101,2026-05-25,WEEK,IBP,10229.0,w22
23,32000001,7101,2026-06-01,WEEK,IBP,9685.0,w23
24,32000001,7101,2026-06-08,WEEK,IBP,9664.0,w24
25,32000001,7101,2026-06-15,WEEK,IBP,9074.0,w25
26,32000001,7101,2026-06-22,WEEK,IBP,9390.0,w26
27,32000001,7101,2026-06-29,WEEK,IBP,9112.0,w27
28,32000001,7101,2026-07-06,WEEK,IBP,8904.0,w28
29,32000001,7101,2026-07-13,WEEK,IBP,9605.0,w29
30,32000001,7101,2026-07-20,WEEK,IBP,9147.0,w30
31,32000001,7101,2026-07-27,WEEK,IBP,9376.0,w31
32,32000001,7101,2026-08-03,WEEK,IBP,9735.0,w32
33,32000001,7101,2026-08-10,WEEK,IBP,9944.0,w33
34,32000001,7101,2026-08-17,WEEK,IBP,10032.0,w34
35,32000001,7101,2026-08-24,WEEK,IBP,10273.0,w35
36,32000001,7101,2026-08-31,WEEK,IBP,10160.0,w36
37,32000001,7101,2026-09-07,WEEK,IBP,10569.0,w37
38,32000001,7101,2026-09-14,WEEK,IBP,10894.0,w38
39,32000001,7101,2026-09-21,WEEK,IBP,11327.0,w39
40,32000001,7101,2026-09-28,WEEK,IBP,11381.0,w40
41,32000001,7101,2026-10-05,WEEK,IBP,11926.0,w41
42,32000001,7101,2026-10-12,WEEK,IBP,12236.0,w42
43,32000001,7101,2026-10-19,WEEK,IBP,11930.0,w43
44,32000001,7101,2026-10-26,WEEK,IBP,12430.0,w44
45,32000001,7101,2026-11-02,WEEK,IBP,12699.0,w45
46,32000001,7101,2026-11-09,WEEK,IBP,13289.0,w46
47,32000001,7101,2026-11-16,WEEK,IBP,13406.0,w47
48,32000001,7101,2026-11-23,WEEK,IBP,14079.0,w48
49,32000001,7101,2026-11-30,WEEK,IBP,10101.0,w49
50,32000001,7101,2026-12-07,WEEK,IBP,9958.0,w50
51,32000001,7101,2026-12-14,WEEK,IBP,9974.0,w51
52,32000001,7101,2026-12-21,WEEK,IBP,10352.0,w52
53,32000001,7101,2025-12-29,WEEK,POST_FCST,9893.0,w01
54,32000001,7101,2026-01-05,WEEK,POST_FCST,9487.0,w02
55,32000001,7101,2026-01-12,WEEK,POST_FCST,9474.0,w03
56,32000001,7101,2026-01-19,WEEK,POST_FCST,9958.0,w04
57,32000001,7101,2026-01-26,WEEK,POST_FCST,10412.0,w05
58,32000001,7101,2026-02-02,WEEK,POST_FCST,11058.0,w06
59,32000001,7101,2026-02-09,WEEK,POST_FCST,10958.0,w07
60,32000001,7101,2026-02-16,WEEK,POST_FCST,10419.0,w08
61,32000001,7101,2026-02-23,WEEK,POST_FCST,11843.0,w09
62,32000001,7101,2026-03-02,WEEK,POST_FCST,13236.0,w10
